p, role:Editor, domain:tenant1, resource:employees,        perm:Read,   allow
p, role:Editor, domain:tenant1, resource:employees.name,   perm:Read,   allow
p, role:Editor, domain:tenant1, resource:employees.salary, perm:Update, allow
p, role:Viewer, domain:tenant1, resource:employees.name,   perm:Read,   allow
p, role:Viewer, domain:tenant2, resource:widgets,          perm:List,   allow
p, user:dana,   domain:tenant1, resource:widgets,          perm:List,   allow
g, user:erin,   role:Editor,    domain:tenant1
g, user:frank,  role:Viewer,    domain:tenant1
g, user:frank,  role:Editor,    domain:tenant1
g, user:erin,   role:Viewer,    domain:tenant2
g, noop,        role:Viewer,    domain:tenant1
